filename,width,height,class,xmin,ymin,xmax,ymax
103.Solo-Cup-SOLO-16-Oz-Red-Plasti-21582_xlarge.png,500,500,red cup,104.0,71.0,403.0,432.0
105.86bcc7e3-f7ce-41f1-bcc9-b261dd492b28_1.df9ae1999e36b6985892a6d8dc95ccd4.jpeg,1000,1000,red cup,109.0,1.0,872.0,990.0
107.0bedaa3f-1513-4ff5-a740-4525610f9297.d521f416eb43e952ad842d69743faa40.jpeg,750,750,others,257.0,171.0,415.0,346.0
107.0bedaa3f-1513-4ff5-a740-4525610f9297.d521f416eb43e952ad842d69743faa40.jpeg,750,750,others,398.0,131.0,601.0,306.0
111.2112013-508-3.png,1000,1000,others,59.0,33.0,875.0,985.0
111.cup-plastic-classic-red-16-ounce-20-count.png,800,800,others,257.0,204.0,543.0,601.0
112.12ozredcup2016resampled.png,387,500,others,20.0,57.0,369.0,489.0
112.Blule-2a.png,700,700,blue cup,4.0,78.0,325.0,555.0
112.Blule-2a.png,700,700,blue cup,229.0,192.0,696.0,589.0
113.519IcAUqxqL.__AC_SY300_QL70_ML2_.png,314,300,blue cup,1.0,1.0,313.0,294.0
114.46866_large.png,600,600,blue cup,73.0,9.0,525.0,591.0
114.4711e8ec-837f-4f4b-944a-8cdd8fa4d769_1.f79575b5db30943d4e12bf1feacf0551.jpeg,1200,1200,red cup,52.0,41.0,382.0,409.0
114.4711e8ec-837f-4f4b-944a-8cdd8fa4d769_1.f79575b5db30943d4e12bf1feacf0551.jpeg,1200,1200,red cup,358.0,100.0,658.0,455.0
114.4711e8ec-837f-4f4b-944a-8cdd8fa4d769_1.f79575b5db30943d4e12bf1feacf0551.jpeg,1200,1200,red cup,795.0,803.0,1124.0,1178.0
114.4711e8ec-837f-4f4b-944a-8cdd8fa4d769_1.f79575b5db30943d4e12bf1feacf0551.jpeg,1200,1200,red cup,495.0,824.0,818.0,1179.0
114.4711e8ec-837f-4f4b-944a-8cdd8fa4d769_1.f79575b5db30943d4e12bf1feacf0551.jpeg,1200,1200,red cup,694.0,103.0,1000.0,443.0
114.4711e8ec-837f-4f4b-944a-8cdd8fa4d769_1.f79575b5db30943d4e12bf1feacf0551.jpeg,1200,1200,red cup,857.0,1.0,1149.0,333.0
